mode,threads,brute_ms,hnsw_ms,speedup_brute,speedup_hnsw,recall
queries,1,205.719,20.447,1.00,1.00,0.9716
queries,2,102.703,10.663,2.00,1.92,0.9716
queries,4,51.547,5.703,3.99,3.59,0.9716
queries,8,41.229,3.636,4.99,5.62,0.9716
neighbors,1,204.451,32.240,1.00,1.00,0.9716
neighbors,2,102.552,36.037,1.99,0.89,0.9716
neighbors,4,51.173,35.602,4.00,0.91,0.9716
neighbors,8,40.634,45.254,5.03,0.71,0.9716
features,1,203.278,127.323,1.00,1.00,0.9716
features,2,102.621,200.778,1.98,0.63,0.9716
features,4,52.019,239.815,3.91,0.53,0.9716
features,8,41.210,365.478,4.93,0.35,0.9716
