mode,threads,brute_ms,lsh_ms,speedup_brute,speedup_lsh,recall
queries,1,26084.348,2255.328,1.00,1.00,0.5064
queries,2,13056.165,1161.377,2.00,1.94,0.5064
queries,4,6861.681,634.247,3.80,3.56,0.5064
queries,8,5134.202,452.950,5.08,4.98,0.5064
tables,1,26054.847,2284.321,1.00,1.00,0.5064
tables,2,13054.255,2289.949,2.00,1.00,0.5064
tables,4,6663.094,2306.956,3.91,0.99,0.5064
tables,8,4949.962,2432.200,5.26,0.94,0.5064
candidates,1,26052.152,2284.665,1.00,1.00,0.5064
candidates,2,13074.980,1228.238,1.99,1.86,0.5064
candidates,4,6735.879,726.676,3.87,3.14,0.5064
candidates,8,4881.199,757.091,5.34,3.02,0.5064
query_table,1,26079.421,2272.950,1.00,1.00,0.5064
query_table,2,13073.069,1171.910,1.99,1.94,0.5064
query_table,4,6679.641,682.308,3.90,3.33,0.5064
query_table,8,4964.780,553.804,5.25,4.10,0.5064
all,1,26053.817,2277.941,1.00,1.00,0.5064
all,2,13011.574,635.874,2.00,3.58,0.5064
all,4,6632.782,498.833,3.93,4.57,0.5064
all,8,5001.631,604.657,5.21,3.77,0.5064
